katok (knock on door)                 kumatok             kumakatok           kakatok             kumatok
kilos (act/take action)               kumilos             kumikilos           kikilos             kumilos
kinig (listen/hear)                   nakinig             nakikinig           makikinig           makinig
pakinggan (listen to)                 pinakinggan         pinapakinggan       papakinggan         pakinggan
kita (see)                            nakita              nakikita            makikita            makita
kuha (get/obtain)                     kumuha              kumukuha            kukuha              kumuha
kunin (get/take)                      kinuha              kinukuha            kukunin             kunin
kulong (imprison/confine)             nagkulong           nagkukulong         magkukulong         magkulong
kulungin (imprison/confine)           kinulong            kinukulong          kukulungin          kulungin
kumpuni (repair)                      nagkumpuni          nagkukumpuni        magkukumpuni        magkumpuni
kumpunihin (repair)                   kinumpuni           kinukumpuni         kukumpunihin        kumpunihin
laba (launder)                        naglaba             naglalaba           maglalaba           maglaba
labhan (launder)                      nilabhan            nilalabhan          lalabhan            labhan
laban (fight/defy)                    lumaban             lumalaban           lalaban             lumaban
labanan (fight against)               nilabanan           nilalabanan         lalabanan           labanan
labas (go out/come out)               lumabas             lumalabas           lalabas             lumabas
ilabas (take out)                     inilabas            inilalabas          ilalabas            ilabas
lagay (put/place)                     naglagay            naglalagay          maglalagay          maglagay
lagyan (put in/add to)                nilagyan            nilalagyan          lalagyan            lagyan
lakad (walk)                          naglakad            naglalakad          maglalakad          maglakad
lakarin (walk a distance)             nilakad             nilalakad           lalakarin           lakarin
langoy (swim)                         lumangoy            lumalangoy          lalangoy            lumangoy
languyin (swim a distance)            nilangoy            nilalangoy          lalanguyin          languyin
lapit (approach/come close)           lumapit             lumalapit           lalapit             lumapit
lapitan (approach/come close)         nilapitan           nilalapitan         lalapitan           lapitan
laro (play)                           naglaro             naglalaro           maglalaro           maglaro
paglaruan (play with)                 pinaglaruan         pinaglalaruan       paglalaruan         paglaruan
ligo (bathe)                          naligo              naliligo            maliligo            maligo
paliguan (give another a bath)        pinaliguan          pinapaliguan        papaliguan          paliguan
linang (till/cultivate)               naglinang           naglilinang         maglilinang         maglinang
linangin (cultivate/develop)          nilinang            nililinang          lilinangin          linangin
lingkod (serve/work for)              naglingkod          naglilingkod        maglilingkod        maglingkod
paglingkuran (serve/work for)         pinaglingkuran      pinaglilingkuran    paglilingkuran      paglingkuran
linis (clean)                         naglinis            naglilinis          maglilinis          maglinis
linisin (clean)                       nilinis             nililinis           lilinisin           linisin
lipad (fly)                           lumipad             lumilipad           lilipad             lumipad
liparin (fly to)                      nilipad             nililipad           liliparin           liparin
lumutang (float)                      lumutang            lumulutang          lulutang            lumutang
